Date,Total Primary Energy Consumption
2008-11-15,7.80505
2008-12-15,8.793516
2009-01-15,9.126286
2009-02-15,7.866518
2009-03-15,8.045425
2009-04-15,7.334307
2009-05-15,7.28013
2009-06-15,7.530481
2009-07-15,7.807503
2009-08-15,7.955069
2009-09-15,7.263586
2009-10-15,7.463259
2009-11-15,7.437884
2009-12-15,8.830931
2010-01-15,9.121933
2010-02-15,8.200719
2010-03-15,8.189356
2010-04-15,7.3615
2010-05-15,7.665728
2010-06-15,7.997903
2010-07-15,8.36606
2010-08-15,8.43051
2010-09-15,7.682088
2010-10-15,7.48957
2010-11-15,7.78597
2010-12-15,9.220375
2011-01-15,9.286555
2011-02-15,8.096615
2011-03-15,8.324754
2011-04-15,7.485909
2011-05-15,7.568806
2011-06-15,7.879549
2011-07-15,8.370638
2011-08-15,8.394546
2011-09-15,7.551652
2011-10-15,7.565361
2011-11-15,7.775258
2011-12-15,8.568405
2012-01-15,8.665994
2012-02-15,7.954118
2012-03-15,7.662981
2012-04-15,7.204799
2012-05-15,7.599486
2012-06-15,7.72345
2012-07-15,8.285023
2012-08-15,8.219988
2012-09-15,7.358432
2012-10-15,7.563881
2012-11-15,7.757487
2012-12-15,8.38422
2013-01-15,8.97218
2013-02-15,8.007458
2013-03-15,8.373339
2013-04-15,7.513723
2013-05-15,7.604697
2013-06-15,7.71526
2013-07-15,8.262797
2013-08-15,8.161596
2013-09-15,7.629752
2013-10-15,7.70694
2013-11-15,8.119866
2013-12-15,9.062839
2014-01-15,9.586483
2014-02-15,8.42346
2014-03-15,8.517475
2014-04-15,7.551893
2014-05-15,7.643874
2014-06-15,7.772385
2014-07-15,8.22328
2014-08-15,8.198857
2014-09-15,7.637999
2014-10-15,7.755149
2014-11-15,8.192794
2014-12-15,8.793278
2015-01-15,9.294495
2015-02-15,8.607225
2015-03-15,8.429971
2015-04-15,7.464734
2015-05-15,7.642061
2015-06-15,7.895194
2015-07-15,8.425841
2015-08-15,8.308935
2015-09-15,7.682857
2015-10-15,7.612678
2015-11-15,7.672433
2015-12-15,8.367728
2016-01-15,9.054375
2016-02-15,8.22463
2016-03-15,7.982819
2016-04-15,7.445813
2016-05-15,7.576361
2016-06-15,7.928654
2016-07-15,8.459733
2016-08-15,8.530154
2016-09-15,7.744049
2016-10-15,7.648667
2016-11-15,7.711816
2016-12-15,9.074257
2017-01-15,8.975712
2017-02-15,7.621169
2017-03-15,8.430375
2017-04-15,7.452589
2017-05-15,7.793161
2017-06-15,7.958659
2017-07-15,8.421861
2017-08-15,8.292363
2017-09-15,7.617954
2017-10-15,7.808365
2017-11-15,8.097034
2017-12-15,9.187345
2018-01-15,9.664295
2018-02-15,8.063527
2018-03-15,8.705319
2018-04-15,7.886114
2018-05-15,7.986151
2018-06-15,8.142886
2018-07-15,8.610071
2018-08-15,8.689597
2018-09-15,7.863383
2018-10-15,8.085767
2018-11-15,8.515055
2018-12-15,9.028026
2019-01-15,9.547795
2019-02-15,8.391764
2019-03-15,8.707932
2019-04-15,7.676292
2019-05-15,7.952508
2019-06-15,7.918254
2019-07-15,8.563209
2019-08-15,8.566334
2019-09-15,7.86733
2019-10-15,7.942208
2019-11-15,8.396083
2019-12-15,8.948229
2020-01-15,8.974903
2020-02-15,8.36793
2020-03-15,7.884905
2020-04-15,6.516318
2020-05-15,6.829591
2020-06-15,7.276259
2020-07-15,8.06777
2020-08-15,8.014139
2020-09-15,7.301082
2020-10-15,7.477158
2020-11-15,7.582821
2020-12-15,8.713997
2021-01-15,8.936961
2021-02-15,8.146842
2021-03-15,8.118003
2021-04-15,7.524188
2021-05-15,7.729418
