Date,Total Renewable Energy Consumption
2015-09-15,0.752557
2015-10-15,0.778832
2015-11-15,0.826801
2015-12-15,0.880423
2016-01-15,0.859654
2016-02-15,0.857726
2016-03-15,0.936537
2016-04-15,0.889147
2016-05-15,0.903498
2016-06-15,0.857312
2016-07-15,0.87516
2016-08-15,0.826661
2016-09-15,0.79194
2016-10-15,0.834614
2016-11-15,0.838293
2016-12-15,0.938111
2017-01-15,0.909222
2017-02-15,0.862544
2017-03-15,1.018286
2017-04-15,0.997736
2017-05-15,1.038526
2017-06-15,0.994658
2017-07-15,0.923918
2017-08-15,0.869737
2017-09-15,0.840003
2017-10-15,0.894513
2017-11-15,0.879897
2017-12-15,0.909319
2018-01-15,0.958082
2018-02-15,0.897556
2018-03-15,0.99882
2018-04-15,1.005712
2018-05-15,1.04845
2018-06-15,1.018921
2018-07-15,0.933097
2018-08-15,0.939758
2018-09-15,0.852983
2018-10-15,0.89084
2018-11-15,0.894203
2018-12-15,0.931476
2019-01-15,0.92858
2019-02-15,0.869591
2019-03-15,0.98889
2019-04-15,1.023866
2019-05-15,1.06544
2019-06-15,0.997689
2019-07-15,0.985203
2019-08-15,0.939361
2019-09-15,0.901114
2019-10-15,0.93317
2019-11-15,0.900204
2019-12-15,0.935216
2020-01-15,0.959235
2020-02-15,0.967467
2020-03-15,0.963919
2020-04-15,0.915289
2020-05-15,1.022262
2020-06-15,1.037892
2020-07-15,0.985711
2020-08-15,0.943334
2020-09-15,0.874005
2020-10-15,0.918503
2020-11-15,0.962306
2020-12-15,0.968113
2021-01-15,0.964254
2021-02-15,0.865685
2021-03-15,1.082647
2021-04-15,1.042298
2021-05-15,1.102427
2021-06-15,1.025797
2021-07-15,0.986426
2021-08-15,1.007152
2021-09-15,0.960263
2021-10-15,0.995593
2021-11-15,1.017949
2021-12-15,1.089504
2022-01-15,1.097656
2022-02-15,1.050056
2022-03-15,1.193137
2022-04-15,1.168547
2022-05-15,1.204039
2022-06-15,1.174924
2022-07-15,1.115822
2022-08-15,1.041318
2022-09-15,0.965302
2022-10-15,1.011795
2022-11-15,1.081008
2022-12-15,1.073143
2023-01-15,1.10581
2023-02-15,1.067584
