Date,Primary Energy Stock Change and Other
2014-01-15,1.351614
2014-02-15,1.07253
2014-03-15,0.33043
2014-04-15,-0.562363
2014-05-15,-0.683998
2014-06-15,-0.273018
2014-07-15,-0.261249
2014-08-15,-0.275642
2014-09-15,-0.582765
2014-10-15,-0.658763
2014-11-15,-0.03342
2014-12-15,0.142671
2015-01-15,0.607738
2015-02-15,0.897979
2015-03-15,-0.207793
2015-04-15,-0.683148
2015-05-15,-0.616785
2015-06-15,-0.158616
2015-07-15,-0.050283
2015-08-15,-0.36963
2015-09-15,-0.491893
2015-10-15,-0.589014
2015-11-15,-0.283414
2015-12-15,0.163863
2016-01-15,0.817237
2016-02-15,0.423357
2016-03-15,-0.123058
2016-04-15,-0.185456
2016-05-15,-0.341573
2016-06-15,0.150384
2016-07-15,0.198654
2016-08-15,0.308322
2016-09-15,-0.026197
2016-10-15,-0.396198
2016-11-15,-0.163139
2016-12-15,1.119096
2017-01-15,0.742452
2017-02-15,0.304921
2017-03-15,0.305492
2017-04-15,-0.256264
2017-05-15,-0.355074
2017-06-15,-0.030199
2017-07-15,0.336697
2017-08-15,0.015812
2017-09-15,-0.127641
2017-10-15,-0.153751
2017-11-15,0.186998
2017-12-15,1.044162
2018-01-15,1.26315
2018-02-15,0.518937
2018-03-15,0.352546
2018-04-15,-0.050257
2018-05-15,-0.348381
2018-06-15,-0.138216
2018-07-15,0.198555
2018-08-15,-0.168194
2018-09-15,-0.400679
2018-10-15,-0.267908
2018-11-15,0.321536
2018-12-15,0.546895
2019-01-15,0.804778
2019-02-15,0.728623
2019-03-15,0.352057
2019-04-15,-0.682003
2019-05-15,-0.791293
2019-06-15,-0.366129
2019-07-15,-0.106026
2019-08-15,-0.205246
2019-09-15,-0.370065
2019-10-15,-0.437941
2019-11-15,0.268519
2019-12-15,0.40668
2020-01-15,0.498533
2020-02-15,0.598038
2020-03-15,-0.154961
2020-04-15,-0.894627
2020-05-15,-0.616059
2020-06-15,-0.400042
2020-07-15,0.228105
2020-08-15,0.302183
2020-09-15,-0.100543
2020-10-15,0.110822
2020-11-15,0.083525
2020-12-15,1.080312
2021-01-15,0.99891
2021-02-15,1.389079
2021-03-15,0.033005
2021-04-15,-0.090127
2021-05-15,-0.337167
2021-06-15,0.194411
2021-07-15,0.267747
2021-08-15,0.444962
2021-09-15,-0.246031
2021-10-15,-0.301427
2021-11-15,0.193984
2021-12-15,0.607841
2022-01-15,1.310918
2022-02-15,1.046757
2022-03-15,0.369783
2022-04-15,-0.039134
2022-05-15,-0.270797
2022-06-15,0.06603
2022-07-15,0.185244
2022-08-15,0.210647
2022-09-15,-0.271981
2022-10-15,-0.40865
2022-11-15,0.193286
2022-12-15,1.01915
2023-01-15,0.33281
2023-02-15,0.31087
